PESQ,Filepath Deg,Filename,db,VISQOL,MOS,Condition,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Filepath Ref,NISQA
1.4965320825576782,/media/alergn/hdd/datasets/audio/speech/ITU-T P_Suppl_23_DB/P_Suppl_23_DB/Disk1/EXP1/CODED_WAV/OE1M4323.wav,OE1M4323.wav,P23_EXP1,1.54059601,2.1666666666666665,23,4,4,1,3,2,2,2,3,2,2,3,1,2,1,2,2,2,2,3,1,2,2,2,2,/media/alergn/hdd/datasets/audio/speech/ITU-T P_Suppl_23_DB/P_Suppl_23_DB/Disk1/EXP1/ORIGINAL_WAV/O_M02S23.wav,1.5736791
1.991058588027954,/media/alergn/hdd/datasets/audio/speech/ITU-T P_Suppl_23_DB/P_Suppl_23_DB/Disk1/EXP1/CODED_WAV/OE1M3D17.wav,OE1M3D17.wav,P23_EXP1,2.9224422,4.166666666666667,17,5,5,4,5,4,4,4,5,4,3,4,4,4,5,4,3,5,4,4,4,4,4,4,4,/media/alergn/hdd/datasets/audio/speech/ITU-T P_Suppl_23_DB/P_Suppl_23_DB/Disk1/EXP1/ORIGINAL_WAV/O_M02S17.wav,3.140063
1.590630054473877,/media/alergn/hdd/datasets/audio/speech/ITU-T P_Suppl_23_DB/P_Suppl_23_DB/Disk1/EXP1/CODED_WAV/OE1M4222.wav,OE1M4222.wav,P23_EXP1,1.71435165,3.125,22,4,5,3,4,3,4,3,4,3,2,4,2,3,3,3,5,3,2,2,2,3,3,2,3,/media/alergn/hdd/datasets/audio/speech/ITU-T P_Suppl_23_DB/P_Suppl_23_DB/Disk1/EXP1/ORIGINAL_WAV/O_M02S22.wav,3.0883863
1.7215008735656738,/media/alergn/hdd/datasets/audio/speech/ITU-T P_Suppl_23_DB/P_Suppl_23_DB/Disk1/EXP1/CODED_WAV/OE1M4121.wav,OE1M4121.wav,P23_EXP1,1.72326517,2.7916666666666665,21,3,4,4,4,3,3,3,4,2,2,3,3,2,2,4,3,3,2,2,1,2,3,2,3,/media/alergn/hdd/datasets/audio/speech/ITU-T P_Suppl_23_DB/P_Suppl_23_DB/Disk1/EXP1/ORIGINAL_WAV/O_M02S21.wav,2.33915
1.5318443775177002,/media/alergn/hdd/datasets/audio/speech/ITU-T P_Suppl_23_DB/P_Suppl_23_DB/Disk1/EXP1/CODED_WAV/OE1M4020.wav,OE1M4020.wav,P23_EXP1,2.45743084,2.6666666666666665,20,2,4,3,4,3,2,2,4,3,2,3,2,1,3,4,3,2,3,3,3,1,3,2,2,/media/alergn/hdd/datasets/audio/speech/ITU-T P_Suppl_23_DB/P_Suppl_23_DB/Disk1/EXP1/ORIGINAL_WAV/O_M02S20.wav,2.6225753
2.096920967102051,/media/alergn/hdd/datasets/audio/speech/ITU-T P_Suppl_23_DB/P_Suppl_23_DB/Disk1/EXP1/CODED_WAV/OE1M3F19.wav,OE1M3F19.wav,P23_EXP1,2.74302173,3.7916666666666665,19,4,4,4,4,5,3,4,4,4,3,4,4,3,4,4,5,4,3,5,4,3,4,2,3,/media/alergn/hdd/datasets/audio/speech/ITU-T P_Suppl_23_DB/P_Suppl_23_DB/Disk1/EXP1/ORIGINAL_WAV/O_M02S19.wav,3.1104407
2.4238877296447754,/media/alergn/hdd/datasets/audio/speech/ITU-T P_Suppl_23_DB/P_Suppl_23_DB/Disk1/EXP1/CODED_WAV/OE1M3E18.wav,OE1M3E18.wav,P23_EXP1,3.07755542,4.208333333333333,18,3,5,4,5,4,4,4,5,5,4,5,5,3,4,5,4,4,4,4,4,4,4,4,4,/media/alergn/hdd/datasets/audio/speech/ITU-T P_Suppl_23_DB/P_Suppl_23_DB/Disk1/EXP1/ORIGINAL_WAV/O_M02S18.wav,2.934326
2.9594430923461914,/media/alergn/hdd/datasets/audio/speech/ITU-T P_Suppl_23_DB/P_Suppl_23_DB/Disk1/EXP1/CODED_WAV/OE1M3C16.wav,OE1M3C16.wav,P23_EXP1,3.33754516,4.0,16,4,5,2,4,4,4,4,5,4,4,5,4,3,5,5,3,4,4,3,5,3,4,4,4,/media/alergn/hdd/datasets/audio/speech/ITU-T P_Suppl_23_DB/P_Suppl_23_DB/Disk1/EXP1/ORIGINAL_WAV/O_M02S16.wav,3.254249
2.9783527851104736,/media/alergn/hdd/datasets/audio/speech/ITU-T P_Suppl_23_DB/P_Suppl_23_DB/Disk1/EXP1/CODED_WAV/OE1M3307.wav,OE1M3307.wav,P23_EXP1,3.329638,4.541666666666667,7,4,5,3,5,5,5,4,4,5,4,4,5,4,5,5,5,5,4,4,5,4,5,5,5,/media/alergn/hdd/datasets/audio/speech/ITU-T P_Suppl_23_DB/P_Suppl_23_DB/Disk1/EXP1/ORIGINAL_WAV/O_M02S07.wav,3.5752158
1.8605625629425049,/media/alergn/hdd/datasets/audio/speech/ITU-T P_Suppl_23_DB/P_Suppl_23_DB/Disk1/EXP1/CODED_WAV/OE1M3A14.wav,OE1M3A14.wav,P23_EXP1,2.42325091,3.9166666666666665,14,4,5,4,5,5,4,4,5,3,3,5,4,3,3,5,3,4,4,4,4,3,3,4,3,/media/alergn/hdd/datasets/audio/speech/ITU-T P_Suppl_23_DB/P_Suppl_23_DB/Disk1/EXP1/ORIGINAL_WAV/O_M02S14.wav,3.6968424
